date,close,open,high,low,volune,change
2021年7月14日,32820.7,32727.8,33051.9,31611.2,69.56K,0.0028
2021年7月13日,32728.1,33106.1,33307.7,32259.5,60.04K,-0.0116
2021年7月12日,33113,34228.3,34598,32662.8,63.24K,-0.0326
2021年7月11日,34227.7,33510.8,34580.6,33319.8,35.72K,0.0214
2021年7月10日,33510.6,33797.7,34221,33056.8,50.94K,-0.0085
2021年7月9日,33797.4,32866.3,34079.2,32367,67.14K,0.0283
2021年7月8日,32866.3,33859.4,33923.2,32146.9,108.09K,-0.0296
2021年7月7日,33867.8,34228.7,35036.6,33801.3,72.03K,-0.0105
2021年7月6日,34225.6,33688.5,35062,33581.7,83.63K,0.016
2021年7月5日,33687.8,35297,35300.5,33164.1,88.36K,-0.0456
2021年7月4日,35298.2,34742.8,35957.6,34740.1,56.13K,0.016
2021年7月3日,34742.8,33814.2,34909.8,33363.3,55.69K,0.0275
2021年7月2日,33813.4,33542.2,33925.9,32734.6,78.93K,0.008
2021年7月1日,33543.6,35030.7,35032.7,32839.2,27.41K,-0.0423
2021年6月30日,35026.9,35832.6,36089.5,34126.6,107.07K,-0.0225
2021年6月29日,35834.7,34477.3,36590.3,34247.6,97.27K,0.0394
2021年6月28日,34475.9,34682.2,35231.2,33944.9,112.00K,-0.0058
2021年6月27日,34678.5,32247.1,34685.5,32041.7,148.80K,0.0755
2021年6月26日,32243.4,31592.1,32643,30206.9,156.67K,0.0206
2021年6月25日,31594,34660.5,35490.9,31337.9,193.43K,-0.0886
2021年6月24日,34665.8,33678.1,35249.9,32356.7,119.25K,0.0294
2021年6月23日,33674.3,32498.3,34784.3,31736.5,173.34K,0.0362
2021年6月22日,32496.4,31682.7,33272.5,28901.8,309.65K,0.0254
2021年6月21日,31692,35597.9,35708.4,31284.1,256.87K,-0.1097
2021年6月20日,35595.8,35510.9,36097.9,33378,137.48K,0.0023
2021年6月19日,35513.4,35770,36357.3,34845.5,105.46K,-0.0066
2021年6月18日,35749.4,38045.5,38166,35198.5,102.84K,-0.0605
2021年6月17日,38052,38337.8,39529.9,37425.3,109.58K,-0.0074
2021年6月16日,38336,40148.1,40494.4,38156.4,123.52K,-0.0453
2021年6月15日,40156.1,40522.5,41318,39589.9,117.55K,-0.0092
2021年6月14日,40529.4,39024.1,40970.4,38769.9,157.35K,0.0386
2021年6月13日,39022.9,35467.5,39321.6,34827,123.32K,0.1002
2021年6月12日,35467.5,37334.4,37437.3,34703.3,87.73K,-0.0495
2021年6月11日,37314.6,36654.3,37641.1,36003.3,109.15K,0.0181
2021年6月10日,36649.4,37375.2,38340.8,35824,154.32K,-0.0183
2021年6月9日,37332.2,33385.5,37517.6,32428.6,209.82K,0.1183
2021年6月8日,33382.9,33574.6,34047.8,31158.1,193.54K,-0.0058
2021年6月7日,33578,35815.4,36754.6,33410.1,119.50K,-0.0625
2021年6月6日,35815.4,35518.7,36434,35265.3,62.20K,0.0083
2021年6月5日,35520,36841.2,37887.6,34832,101.48K,-0.0361
2021年6月4日,36851.3,39191.4,39255.4,35659.9,127.71K,-0.0596
2021年6月3日,39187.3,37555.7,39462.3,37193.6,106.44K,0.0434
2021年6月2日,37555.8,36687.7,38199.9,35981.1,96.89K,0.0237
2021年6月1日,36687.6,37294.3,37850.3,35742.7,113.48K,-0.0164
2021年5月31日,37298.6,35644,37480.7,34213.2,131.70K,0.0462
2021年5月30日,35652.8,34589.3,36388.6,33441,104.18K,0.0309
2021年5月29日,34584.6,35664.5,37227.1,33664.2,160.43K,-0.0302
2021年5月28日,35662.5,38543.2,38844.1,34772.4,199.58K,-0.0717
2021年5月27日,38417.3,39249,40322.2,37190.8,122.93K,-0.0212
2021年5月26日,39249.2,38375.7,40750,37847,153.80K,0.0227
2021年5月25日,38378.3,38753.6,39740.8,36540.7,163.01K,-0.0096
2021年5月24日,38750.6,34720.3,39851.7,34474.6,244.88K,0.1174
2021年5月23日,34679.7,37446.8,38248.7,31192.4,325.73K,-0.0739
2021年5月22日,37448.3,37291,38776,35314.9,185.83K,0.004
2021年5月21日,37297.4,40611.2,42108.3,33592.3,315.50K,-0.084
2021年5月20日,40717.2,36706.8,42425.9,35010.4,269.75K,0.1088
2021年5月19日,36720.5,42898.3,43516.6,30261.7,607.10K,-0.144
2021年5月18日,42897.3,43538.5,45770.9,42293.9,154.96K,-0.0148
2021年5月17日,43541.3,46424.2,46545.4,42201.5,274.76K,-0.0621
2021年5月16日,46426.4,46729.3,49764.3,43920.8,180.07K,-0.006
2021年5月15日,46708.8,49839.1,50640.9,46650.2,131.91K,-0.0628
2021年5月14日,49839.8,49704.9,51459.2,48874,118.84K,0.0027
2021年5月13日,49704.6,49398.2,51337.3,46331.1,236.71K,0.0065
2021年5月12日,49384.2,56694.5,57938.5,49187,160.74K,-0.129
2021年5月11日,56695.7,55846.1,56871.1,54550.4,96.47K,0.0152
2021年5月10日,55848.9,58251.2,59523.9,53678.3,142.61K,-0.041
2021年5月9日,58238.3,58840.6,59227,56414.4,103.59K,-0.0102
2021年5月8日,58840.1,57330.3,59471.1,56972.2,101.27K,0.0262
2021年5月7日,57337.2,56411.4,58639.3,55300.1,110.01K,0.0165
2021年5月6日,56405.4,57441,58364.9,55294.5,109.02K,-0.018
2021年5月5日,57441.3,53872.5,57936.4,53872.5,119.82K,0.0688
2021年5月4日,53741.5,57170.6,57201.3,53741.5,132.33K,-0.06
2021年5月3日,57169.8,56605.8,58925.1,56562.4,89.24K,0.01
2021年5月2日,56603.8,57807.2,57868.4,56110.5,53.61K,-0.0208
2021年5月1日,57807.1,57719.1,58449.4,57029.5,63.41K,0.0015
2021年4月30日,57720.3,53562.3,57925.6,53088.7,103.74K,0.0777
2021年4月29日,53560.8,54838.6,55173.7,52400,83.90K,-0.0234
2021年4月28日,54841.4,55036,56419.9,53876.4,86.96K,-0.0035
2021年4月27日,55036.5,54011.1,55427.8,53345,84.08K,0.0188
2021年4月26日,54020.5,48963.5,54320.9,48815.9,129.76K,0.1033
2021年4月25日,48963.6,50088.2,50532.4,47098.5,59.20K,-0.0225
2021年4月24日,50088.9,51140.8,51183,48775.2,82.25K,-0.0206
2021年4月23日,51143.6,51707.1,52099.9,47659.4,214.46K,-0.0113
2021年4月22日,51729.5,53821.3,55408.4,50590.9,168.13K,-0.0388
2021年4月21日,53820.2,56479.5,56764.4,53657.6,100.26K,-0.0471
2021年4月20日,56483.2,55645.1,57054.9,53422.5,115.49K,0.015
2021年4月19日,55646.1,56208.1,57517,54272.3,117.51K,-0.01
2021年4月18日,56207.1,60043.2,60362.1,51817.6,216.81K,-0.0639
2021年4月17日,60041.9,61358.3,62509.1,59672.1,84.08K,-0.0218
2021年4月16日,61379.7,63211.6,63518.5,60027.3,136.85K,-0.029
2021年4月15日,63216,62978.6,63729.1,62067.5,76.97K,0.0037
2021年4月14日,62980.4,63544.2,64778,61366.3,130.43K,-0.0088
2021年4月13日,63540.9,59863.6,63659,59839.4,126.56K,0.0614
2021年4月12日,59863.8,59982.1,61259.9,59569.2,81.88K,-0.0019
2021年4月11日,59978.7,59772.4,60667.1,59250.3,58.20K,0.0039
2021年4月10日,59748.4,58127.4,61229,57900,103.72K,0.028
2021年4月9日,58118.7,58076.8,58890.9,57686,59.22K,0.0007
2021年4月8日,58077.4,55948,58136.7,55721.6,64.78K,0.038
2021年4月7日,55948.7,57996.3,58627.7,55489.3,110.69K,-0.0353
2021年4月6日,57996.3,59169,59487,57403.3,77.15K,-0.0169
2021年4月5日,58993.4,58202.3,59205.1,56842.7,54.13K,0.0136
2021年4月4日,58199.9,57059.7,58464.8,56470.6,57.21K,0.02
2021年4月3日,57059.9,58976.8,59770.5,56906.7,68.74K,-0.0325
2021年4月2日,58977.3,58718.2,60134.9,58466.5,72.37K,0.0044
2021年4月1日,58718.3,58763.2,59406.5,58040.7,69.04K,-0.0008
2021年3月31日,58763.7,58771.4,59795.6,56991.6,98.06K,-0.0001
2021年3月30日,58771.3,57614.6,59366.9,57077.1,86.21K,0.02
2021年3月29日,57616.2,55764.7,58392.6,54951.1,107.91K,0.0332
2021年3月28日,55765.2,55856.9,56504.2,54711.3,58.71K,-0.0017
2021年3月27日,55862.9,55033.8,56531.1,54010.2,73.87K,0.015
2021年3月26日,55036.1,51317.4,55074.1,51302,100.30K,0.0724
2021年3月25日,51322.3,52330,53175.4,50441.3,143.35K,-0.0192
2021年3月24日,52325.4,54309.1,57169.4,51725.4,137.91K,-0.0391
2021年3月23日,54452.5,54117.5,55813.8,52992.3,84.84K,0.0054
2021年3月22日,54158.3,57379.3,58379.9,53784.2,95.53K,-0.0562
2021年3月21日,57383.8,58097.4,58583.8,55583.3,77.47K,-0.0122
2021年3月20日,58093.4,58084.1,59882.1,57863,67.83K,0.0001
2021年3月19日,58088,57645,59448.3,56305.1,83.98K,0.0075
2021年3月18日,57656,58911.8,60088,57099.6,102.62K,-0.0213
2021年3月17日,58913.5,56892.9,58933.2,54253.2,118.26K,0.0356
2021年3月16日,56889.7,55619.5,56889.7,53342.6,128.51K,0.0197
2021年3月15日,55791.3,59117.4,60565.9,55088.8,117.71K,-0.0562
2021年3月14日,59113.7,61192.7,61673.7,59113.7,80.29K,-0.034
2021年3月13日,61195.3,57267.4,61795.8,56118.8,134.64K,0.0686
2021年3月12日,57265.1,57806.2,58052.3,55134.5,116.96K,-0.0092
